element,token,bibtex_key,number
Diffuse & Direct   Solar Radiation,Hodd07,Hodder2007-qo,
Diffuse & Direct   Solar Radiation,Chin19,Chinazzo2019-ye,
Near Body Heat Sources,Zhan14,Zhang2014-im,
Task & Physical Activity,Gaes75,Gaesser1975-jn,
Task & Physical Activity,Fang72,Fanger1972-xq,
Diet-Induced   Thermogenesis,Swam85,Swaminathan1985-ca,
Diet-Induced   Thermogenesis,Otsu21,Otsuka2021-ty,
Hot & Cold Beverages,Otsu21,Otsuka2021-ty,
Hot & Cold Beverages,Swam85,Swaminathan1985-ca,
Clothing Insulation,Have15,Havenith2015-yn,
Clothing Insulation,Fang72,Fanger1972-xq,
Vascular Anatomy,John10,Johnson2010-eh,
Vascular Anatomy,Fran99,Frank1999-ju,
Direct Solar Gain,Hodd07,Hodder2007-qo,
Direct Solar Gain,Chin19,Chinazzo2019-ye,
Glazing Surface Temperature,Hodd07,Hodder2007-qo,
Glazing Surface Temperature,Hala14,Halawa2014-ek,
Mean Radiant Temperature,Hala14,Halawa2014-ek,
Mean Radiant Temperature,Fang72,Fanger1972-xq,
Radiant Asymmetry,Su23,Su2023-tg,
Radiant Asymmetry,Hala14,Halawa2014-ek,
Skin Temperature,Fran99,Frank1999-ju,
Skin Temperature,John10,Johnson2010-eh,
Perspiration & Skin Wettedness,Fuka09,Fukazawa2009-nx,
Perspiration & Skin Wettedness,Have15,Havenith2015-yn,
Posture,Tiku96,Tikuisis1996-fd,
Posture,Su23,Su2023-tg,
Air Speed & Turbulence,Schi17,Schiavon2017-fx,
Air Speed & Turbulence,Fang72,Fanger1972-xq,
Vertical Air   Temperature Gradient,Su23,Su2023-tg,
Vertical Air   Temperature Gradient,Fang72,Fanger1972-xq,
Floor Surface Temperature,Su23,Su2023-tg,
Floor Surface Temperature,Tiku96,Tikuisis1996-fd,
Age,Huan10,Huang2010-hy,
Sex,Karj12,Karjalainen2012-ag,
Base Metabolic Rate,King12,Kingma2012-lm,
Base Metabolic Rate,Gaes75,Gaesser1975-jn,
Hydration Status,Sawk01,Sawka2001-sz,
Hydration Status,Otsu21,Otsuka2021-ty,
Sleep & Circadian Phase,Krau02,Krauchi2002-aq,
Sleep & Circadian Phase,Dear98,Dear1998-va,
Acclimatisation,Dear98,Dear1998-va,
Acclimatisation,Schi17,Schiavon2017-fx,
Thermoregulation,John10,Johnson2010-eh,
Thermoregulation,King12,Kingma2012-lm,
Thermoregulation,Fran99,Frank1999-ju,
Air Humidity,Fang72,Fanger1972-xq,
Air Temp erature,Fang72,Fanger1972-xq,
Air Temp erature,Dear98,Dear1998-va,
Alliesthesia,Caba71,Cabanac1971-mg,
Alliesthesia,Fran99,Frank1999-ju,
Expectation,Dear98,Dear1998-va,
Expectation,Shov03,Shove2003-lf,
Perceived Control,Schi17,Schiavon2017-fx,
Perceived Control,Stre11,Strengers2011-bm,
Attention & Task Engagement,Chin19,Chinazzo2019-ye,
Attention & Task Engagement,Chin22,Chinazzo2022-dt,
Attention & Task Engagement,Schi17,Schiavon2017-fx,
Behavioural Adjustment,Yun11,Yun2011-nu,
Behavioural Adjustment,Stre11,Strengers2011-bm,
Behavioural Adjustment,Dear98,Dear1998-va,
Air-Conditioning Addiction,Hitc11,Hitchings2011-eo,
Air-Conditioning Addiction,Hitc08,Hitchings2008-ky,
Air-Conditioning Addiction,Osun20,Osunmuyiwa2020-fr,
Energy Price & Tariffs,He22,He2022-rg,
Energy Price & Tariffs,Yun11,Yun2011-nu,
Who Pays the Energy Bill,Gill12,Gillingham2012-nf,
Neighbour & Peer Adoption,Noon15,Noonan2015-uz,
Income & Ability to Pay,Davi15,Davis2015-po,
Income & Ability to Pay,Falc24,Falchetta2024-ao,
Income & Ability to Pay,Cole23,Colelli2023-fy,
Wellness & Productivity Cost,Porr24,Porras-Salazar2024-mo,
Colonial Design Legacy,Wint13,Winter2013-tm,
Colonial Design Legacy,Will25,Williamson2025-nt,
Colonial Design Legacy,Roaf26,Roaf2026-kt,
Standards & Regulatory Legacy,Roaf26,Roaf2026-kt,
Standards & Regulatory Legacy,Heal08,Healy2008-hk,
Infrastructural Lock-In,Shov14,Shove2014-fx,
Infrastructural Lock-In,Heal08,Healy2008-hk,
Technology Diffusion,Davi15,Davis2015-po,
Technology Diffusion,Cole23,Colelli2023-fy,
Technology Diffusion,Zhan26,Zhang2026-cx,
Collective vs Individual Control,Heal08,Healy2008-hk,
Collective vs Individual Control,Lund18,Lundgren-Kownacki2018-bv,
Collective vs Individual Control,Stre11,Strengers2011-bm,
Religious & Social Dress Codes,Have15,Havenith2015-yn,
Religious & Social Dress Codes,Nahe21,Naheed2021-ce,
Gendered Comfort Expectations,Karj12,Karjalainen2012-ag,
Regional Comfort Conventions,Nahe21,Naheed2021-ce,
Regional Comfort Conventions,Shov03,Shove2003-lf,
Regional Comfort Conventions,Dear98,Dear1998-va,
Ritual & Worship Practice,Atma19,Atmaca2019-ur,
Generational Cohort Norms,Shov03,Shove2003-lf,
Generational Cohort Norms,Good20,Goodchild2020-ew,
