id_participant,mnemonic,n,cooler_rate,warmer_rate,heat_sensitivity,archetype
orenth01,Captive,105,0.3814585703173838,0.29867353334596947,-0.05438859714928729,Often Over-Cooled
orenth02,Captive,138,0.5690505615602959,0.28621584602491285,-0.2391304347826087,Often Over-Cooled
orenth03,Craver,103,0.9085470982692979,0.005674240642463463,-0.07347670250896055,Constant Cool-Seekers
orenth04,Conventional,100,0.45838209017096376,0.10492445897569849,0.2994422994422995,Normatively Responsive
orenth05,Carefree,101,0.030050106383017278,0.005775564103243225,-0.03333333333333333,Heat-Unbothered
orenth06,Carefree,96,0.0821812005262178,0.006045443961503757,0.10466988727858292,Heat-Unbothered
orenth07,Carefree,102,0.08701842170309813,0.023423176958160694,0.1087962962962963,Heat-Unbothered
orenth08,Carefree,107,0.18324305316451792,0.02243069051781463,-0.09678546470999302,Heat-Unbothered
orenth09,Captive,98,0.34842304340635116,0.1894165450314919,-0.06925323320817689,Often Over-Cooled
orenth10,Captive,102,0.18244353637783078,0.17386232168696833,0.21176470588235297,Often Over-Cooled
orenth11,Carefree,103,0.2941467750138203,0.05830466373284077,-0.10619803476946335,Heat-Unbothered
orenth12,Craver,78,0.7812320111505191,0.018503722615964703,0.12222222222222212,Constant Cool-Seekers
orenth13,Conventional,96,0.5477955071948163,0.09950120116069511,0.12722535822839776,Normatively Responsive
orenth14,Conventional,98,0.1400777533096452,0.06097912816187565,0.13657505285412264,Normatively Responsive
orenth15,Conventional,91,0.2678099833970414,0.016145462912324257,0.11253196930946291,Normatively Responsive
orenth16,Conventional,97,0.35191445864326815,0.08006182586496087,0.16040100250626566,Normatively Responsive
orenth17,Carefree,102,0.029763352898258544,0.04112189986743218,0.04365079365079365,Heat-Unbothered
orenth18,Conventional,84,0.19723696071218505,0.10154340432895087,0.12307692307692306,Normatively Responsive
orenth19,Carefree,79,0.33155189704980287,0.029408933445393873,-0.1647058823529412,Heat-Unbothered
orenth20,Conventional,101,0.6755581425411108,0.01470393594753046,0.1536764705882353,Normatively Responsive
orenth21,Captive,99,0.4039426713838903,0.14224110471645313,-0.051948051948051965,Often Over-Cooled
orenth22,Captive,100,0.32218765572125324,0.18600371128778267,-0.013598834385624092,Often Over-Cooled
orenth23,Carefree,87,0.3020130768559952,0.037212086467243374,-0.17736077481840193,Heat-Unbothered
orenth24,Conventional,100,0.3027313079427232,0.005827595038706722,0.2281746031746032,Normatively Responsive
orenth25,Carefree,93,0.10563296739495795,0.06391074644157752,0.009698275862068964,Heat-Unbothered
orenth26,Captive,54,0.23099231441454046,0.2253278999889826,0.14305750350631138,Often Over-Cooled
orenth27,Craver,68,0.6938282610913514,0.0588193718594856,0.02551834130781505,Constant Cool-Seekers
orenth28,Carefree,91,0.225163430060237,0.03575282477703508,0.08231368186874305,Heat-Unbothered
orenth29,Conventional,75,0.09151101006860388,0.04240431946861923,0.18238213399503722,Normatively Responsive
orenth30,Carefree,17,0.46069152673076996,0.058811799852034025,-0.09999999999999998,Heat-Unbothered
orenth31,Craver,83,0.6541120178743192,0.006881493730981194,-0.18083670715249667,Constant Cool-Seekers
orenth32,Conventional,112,0.14041672033517688,0.0702983872972608,0.23024054982817868,Normatively Responsive
orenth33,Craver,99,0.6888311589183614,0.03315267851900857,-0.15555555555555556,Constant Cool-Seekers
orenth34,Craver,64,0.8401779564841269,0.00862474728307696,-0.0949494949494949,Constant Cool-Seekers
orenth35,Conventional,74,0.47033526063300585,0.007610101018129301,0.033333333333333326,Normatively Responsive
orenth36,Conventional,87,0.2574667773827477,0.006600623611329009,0.27922077922077926,Normatively Responsive
orenth38,Craver,106,0.5342106390139411,0.005528750405950332,0.0008271298593879317,Constant Cool-Seekers
orenth39,Carefree,79,0.03813261367328589,0.018298131417193993,-0.02857142857142857,Heat-Unbothered
orenth40,Captive,81,0.22816643331155942,0.23528574530882396,0.24999999999999997,Often Over-Cooled
orenth41,Carefree,101,0.06858789958648555,0.0772025388575411,0.013957307060755333,Heat-Unbothered
orenth43,Carefree,98,0.1400777533096452,0.015108622137012697,0.07500000000000001,Heat-Unbothered
orenth44,Carefree,19,0.1889963540973675,0.12155244385980246,-0.23076923076923078,Heat-Unbothered
orenth45,Carefree,94,0.03222328113636561,0.025207757412599636,0.05892857142857143,Heat-Unbothered
orenth46,Conventional,108,0.4072326983675226,0.005435832185967018,0.14898785425101213,Normatively Responsive
orenth47,Carefree,29,0.16100498723487608,0.04116936415465726,0.006493506493506496,Heat-Unbothered
orenth48,Carefree,66,0.1616273574763677,0.08632027953887203,-0.030172413793103453,Heat-Unbothered
orenth49,Carefree,62,0.017270480163776157,0.008861033625404715,0.0,Heat-Unbothered
orenth50,Conventional,58,0.4625280074505764,0.02386692587368231,0.28291316526610644,Normatively Responsive
usk01,Carefree,95,0.15460042479319483,0.05327117233585302,-0.0527859237536657,Heat-Unbothered
usk02,Craver,102,0.5068889262719217,0.023423176958160694,-0.14263322884012541,Constant Cool-Seekers
usk03,Carefree,93,0.3874871477505201,0.03506528700582198,0.0379924953095685,Heat-Unbothered
usk04,Craver,102,0.6309415753490742,0.06766998423133941,0.012422360248447228,Constant Cool-Seekers
usk05,Conventional,92,0.3388289796977651,0.03540571841055715,0.12882205513784462,Normatively Responsive
usk06,Craver,77,0.7283614116994678,0.0868938646413845,0.1133333333333334,Constant Cool-Seekers
usk07,Conventional,97,0.4120381841486178,0.005989468926132484,0.23191489361702128,Normatively Responsive
usk08,Craver,94,0.7347446030917798,0.006160592529430479,0.06922712185870072,Constant Cool-Seekers
usk09,Carefree,100,0.24436226460713298,0.023845206663614317,-0.0703296703296703,Heat-Unbothered
usk10,Carefree,88,0.33172848238094393,0.0772392349512197,-0.022793687901811854,Heat-Unbothered
usk11,Craver,97,0.49220315148908406,0.04302564739554668,-0.059588299024918745,Constant Cool-Seekers
usk12,Conventional,61,0.36240005689630994,0.03676091115792993,0.18243243243243246,Normatively Responsive
usk13,Captive,98,0.18968377476124185,0.2169388486464097,-0.025396825396825418,Often Over-Cooled
usk14,Conventional,98,0.4873199034708218,0.07932733057182083,0.15172413793103445,Normatively Responsive
usk15,Carefree,96,0.4769411561800295,0.10884677688061424,-0.011910215300045823,Heat-Unbothered
usk16,Craver,93,0.909439333594154,0.006219827570066447,-0.035231660231660245,Constant Cool-Seekers
usk17,Carefree,98,0.36826545198698984,0.015108622137012697,-0.0757575757575758,Heat-Unbothered
usk18,Carefree,87,0.23519362764612395,0.037212086467243374,-0.17781690140845072,Heat-Unbothered
usk19,Captive,96,0.3453545042954256,0.23968483695948214,-0.17045454545454547,Often Over-Cooled
usk20,Conventional,93,0.14738914226244865,0.04468044015107383,0.12795031055900621,Normatively Responsive
usk21,Conventional,78,0.2861470608847627,0.052210639581954425,0.1841269841269841,Normatively Responsive
